ENSG00001	Tyrobp
ENSG00002	Fcer1g
ENSG00003	C1qb
ENSG00004	C1qa
ENSG00005	C1qc
ENSG00006	Bgn
ENSG00007	Igfbp7
ENSG00008	Ctss
ENSG00009	Laptm5
ENSG000010	Sparc
ENSG000011	Dcn
ENSG000012	Ucp2
ENSG000013	Lyz2
ENSG000014	Mgp
ENSG000015	Fcgr3
ENSG000016	Lum
ENSG000017	Clu
ENSG000018	Cd52
ENSG000019	Sod3
ENSG000020	Spi1
ENSG000021	Lcp1
ENSG000022	Wfdc17
ENSG000023	Cotl1
ENSG000024	Aebp1
ENSG000025	Nupr1
ENSG000026	Tm4sf1
ENSG000027	Serpine2
ENSG000028	Ms4a7
ENSG000029	Col1a2
ENSG000030	Ptpn18
ENSG000031	Acta2
ENSG000032	Fxyd1
ENSG000033	Serpinh1
ENSG000034	Bcl2a1b
ENSG000035	Myl9
ENSG000036	Fn1
ENSG000037	Cpe
ENSG000038	Tagln
ENSG000039	Coro1a
ENSG000040	Ptgis
ENSG000041	Alox5ap
ENSG000042	Cd68
ENSG000043	Tpm2
ENSG000044	Cd200
ENSG000045	Cd72
ENSG000046	Mpeg1
ENSG000047	Csf1r
ENSG000048	Cnn1
ENSG000049	Col3a1
ENSG000050	Cald1
ENSG000051	Col1a1
ENSG000052	Myh11
ENSG000053	Snhg18
ENSG000054	Frzb
ENSG000055	Rgs10
ENSG000056	Cavin3
ENSG000057	Ly86
ENSG000058	Fstl1
ENSG000059	Adgre1
ENSG000060	Cd14
ENSG000061	Mxra8
ENSG000062	Mustn1
ENSG000063	Lilr4b
ENSG000064	Tmsb4x
ENSG000065	Fhl1
ENSG000066	C5ar1
ENSG000067	Lhfp
ENSG000068	Trem2
ENSG000069	Nbl1
ENSG000070	Cd53
ENSG000071	Timp3
ENSG000072	Aif1
ENSG000073	Cyth4
ENSG000074	Cryab
ENSG000075	Basp1
ENSG000076	Rbp1
ENSG000077	Itga8
ENSG000078	Cd300c2
ENSG000079	Csrp2
ENSG000080	Rac2
ENSG000081	Crip2
ENSG000082	Lat2
ENSG000083	Hspb1
ENSG000084	Lmod1
ENSG000085	C3ar1
ENSG000086	Cxcl16
ENSG000087	Npdc1
ENSG000088	Gpsm3
ENSG000089	Fbln5
ENSG000090	Mylk
ENSG000091	Rcn3
ENSG000092	Gatm
ENSG000093	Sncg
ENSG000094	Rbpms
ENSG000095	Igf1
ENSG000096	Ppp1r14a
ENSG000097	Eln
ENSG000098	Col5a2
ENSG000099	Tpm1
ENSG0000100	Timp1
ENSG0000101	Csrp1
ENSG0000102	Rarres2
ENSG0000103	Lmo2
ENSG0000104	Htra1
ENSG0000105	Pcolce
ENSG0000106	1500015O10Rik
ENSG0000107	Ftl1
ENSG0000108	Id3
ENSG0000109	Gngt2
ENSG0000110	Cavin1
ENSG0000111	Fyb
ENSG0000112	Pam
ENSG0000113	Unc93b1
ENSG0000114	Vcam1
ENSG0000115	Dstn
ENSG0000116	Cybb
ENSG0000117	Prelp
ENSG0000118	Scara3
ENSG0000119	Cd83
ENSG0000120	Map1b
ENSG0000121	Smtn
ENSG0000122	Mmp2
ENSG0000123	Aqp1
ENSG0000124	Srgn
ENSG0000125	Arrb2
ENSG0000126	Col18a1
ENSG0000127	Cyba
ENSG0000128	Tns1
ENSG0000129	Cdh13
ENSG0000130	Tnfrsf11b
ENSG0000131	Myl6
ENSG0000132	Pls3
ENSG0000133	Col6a1
ENSG0000134	Ccdc80
ENSG0000135	Ncam1
ENSG0000136	Mfge8
ENSG0000137	Ltbp2
ENSG0000138	Col6a2
ENSG0000139	Sost
ENSG0000140	Fblim1
ENSG0000141	Anxa8
ENSG0000142	Irf8
ENSG0000143	Evi2a
ENSG0000144	Dkk3
ENSG0000145	Cd74
ENSG0000146	Cnn3
ENSG0000147	Ms4a6d
ENSG0000148	Postn
ENSG0000149	Cyr61
ENSG0000150	4930523C07Rik
ENSG0000151	Selplg
ENSG0000152	Sh3bgr
ENSG0000153	Ppic
ENSG0000154	Tnfaip8l2
ENSG0000155	Ly6a
ENSG0000156	Pirb
ENSG0000157	Itgb2
ENSG0000158	Bcam
ENSG0000159	Smoc1
ENSG0000160	Fcrls
